num_answers,avg(accepted_answers/num_answers)
1,0.14025295
2,0.20749667
3,0.23198678
4,0.24037780
5,0.24491635
6,0.25105647
7,0.25509377
8,0.26086225
9,0.25818420
10,0.26183378
11,0.26140886
12,0.26277589
13,0.26600868
14,0.26736591
15,0.26928869
16,0.27046593
17,0.27310600
18,0.27693692
19,0.28141390
20,0.27498648
21,0.28197445
22,0.27542998
23,0.27058456
24,0.27634444
25,0.28703226
26,0.27950970
27,0.28636597
28,0.28192992
29,0.27743457
30,0.28447873
31,0.28035769
32,0.28481382
33,0.28757749
34,0.28738163
35,0.29003467
36,0.28543918
37,0.28141189
38,0.28856387
39,0.28236933
40,0.29468268
41,0.29134796
42,0.29462737
43,0.29517086
44,0.28729527
45,0.29027852
46,0.29038333
47,0.28232326
48,0.30048936
49,0.28742279
50,0.28464692
51,0.29952414
52,0.30453154
53,0.29480291
54,0.29986092
55,0.30076260
56,0.28884958
57,0.29104516
58,0.30032889
59,0.29037184
60,0.29999844
61,0.29537628
62,0.29610952
63,0.28739170
64,0.30309044
65,0.30178742
66,0.29796053
67,0.30957722
68,0.29246208
69,0.31243792
70,0.30333083
71,0.31443827
72,0.29063930
73,0.30714362
74,0.30054409
75,0.30215404
76,0.31543468
77,0.30719673
78,0.29286257
79,0.28670887
80,0.31027027
81,0.29775080
82,0.30215363
83,0.31281846
84,0.30871638
85,0.27932209
86,0.30050174
87,0.29788315
88,0.30704351
89,0.30683013
90,0.29181250
91,0.29177179
92,0.29963270
93,0.30508075
94,0.30282670
95,0.31815976
96,0.30936309
97,0.30554914
98,0.31595368
99,0.30783929
100,0.30457364
101,0.32002095
102,0.28686098
103,0.30184104
104,0.32219344
105,0.32281418
106,0.29435966
107,0.31467200
108,0.31881356
109,0.30010481
110,0.31764492
111,0.29502710
112,0.31701134
113,0.31369915
114,0.30267273
115,0.32025851
116,0.30655604
117,0.30639798
118,0.32203263
119,0.29428400
120,0.30955490
121,0.30723956
122,0.32414545
123,0.29408280
124,0.29863030
125,0.32085106
126,0.32423371
127,0.30056667
128,0.30306484
129,0.31709149
130,0.29566897
131,0.29294156
132,0.29707429
133,0.29861975
134,0.30322368
135,0.27842745
136,0.32950500
137,0.30254127
138,0.31466346
139,0.31763797
140,0.31159275
141,0.32595658
142,0.34230000
143,0.32522951
144,0.32607612
145,0.30900968
146,0.31611017
147,0.31326230
148,0.30766575
149,0.31939452
150,0.33655172
151,0.30562687
152,0.32598065
153,0.31331746
154,0.28747119
155,0.29880556
156,0.30721765
157,0.30143721
158,0.31239434
159,0.32874231
160,0.31453393
161,0.28065556
162,0.30562245
163,0.32695690
164,0.33925455
165,0.37426889
166,0.30984872
167,0.32979250
168,0.33210377
169,0.30350980
170,0.30831897
171,0.33082571
172,0.33323415
173,0.34797556
174,0.30692692
175,0.31499792
176,0.33096667
177,0.30031818
178,0.31219821
179,0.30400556
180,0.29410313
181,0.33562750
182,0.31021351
183,0.29748049
184,0.29444872
185,0.31787419
186,0.29650500
187,0.33577442
188,0.32101351
189,0.34996429
190,0.34375714
191,0.33364000
192,0.30196667
193,0.31804048
194,0.31619714
195,0.35043333
196,0.30822647
197,0.31663784
198,0.35052128
199,0.34810303
200,0.32216667
201,0.31018846
202,0.30095417
203,0.30049487
204,0.37745143
205,0.33170476
206,0.32798667
207,0.29325556
208,0.31996842
209,0.35221111
210,0.29439706
211,0.34493750
212,0.33747727
213,0.33347353
214,0.36277333
215,0.30091304
216,0.33349259
217,0.31263438
218,0.34790263
219,0.30100769
220,0.29844211
221,0.30006316
222,0.34516250
223,0.34672400
224,0.36803600
225,0.29653889
226,0.32282917
227,0.29687826
228,0.33112500
229,0.29919677
230,0.36767826
231,0.30004483
232,0.34636800
233,0.34196071
234,0.25783810
235,0.28288571
236,0.28436111
237,0.30780952
238,0.29744211
239,0.29487368
240,0.32210000
241,0.30726842
242,0.28695556
243,0.34524286
244,0.32787143
245,0.32410741
246,0.36350526
247,0.33826000
248,0.36835882
249,0.32838462
250,0.32140000
251,0.33116250
252,0.28477647
253,0.30312308
254,0.41544737
255,0.28752632
256,0.29540000
257,0.31602174
258,0.32558824
259,0.34079333
260,0.34470833
261,0.29566667
262,0.33131923
263,0.34278500
264,0.32885455
265,0.34783529
266,0.35301000
267,0.37145294
268,0.32188667
269,0.33258000
270,0.32114167
271,0.31257647
272,0.37333182
273,0.30241250
274,0.32240000
275,0.28171176
276,0.31264286
277,0.31299500
278,0.36011667
279,0.33611667
280,0.33167826
281,0.28207368
282,0.31134500
283,0.33241429
284,0.33135789
285,0.29228000
286,0.32412500
287,0.34208182
288,0.29088182
289,0.30370769
290,0.28276000
291,0.35556000
292,0.37842500
293,0.30063333
294,0.34837368
295,0.34052727
296,0.30196154
297,0.25756250
298,0.33381429
299,0.32570556
300,0.32610000
301,0.28127778
302,0.39073846
303,0.37263333
304,0.29675000
305,0.29407692
306,0.39420000
307,0.30558750
308,0.30974000
309,0.28574118
310,0.29107692
311,0.32828571
312,0.31977692
313,0.41792727
314,0.34221364
315,0.34536429
316,0.35092222
317,0.31205385
318,0.32706250
319,0.33437778
320,0.28750000
321,0.32642222
322,0.34751000
323,0.38842667
324,0.38159091
325,0.32128333
326,0.36171667
327,0.37532727
328,0.29523333
329,0.31801250
330,0.34417143
331,0.34673077
332,0.30653077
333,0.36572222
334,0.37935000
335,0.33551000
336,0.28840909
337,0.28153750
338,0.25021429
339,0.33066000
340,0.30837692
341,0.37096667
342,0.31908750
343,0.36511538
344,0.34503077
345,0.32246667
346,0.40809000
347,0.29394167
348,0.41264000
349,0.30594444
350,0.30748750
351,0.33674667
352,0.37373333
353,0.32331250
354,0.34294000
355,0.31227143
356,0.34987778
357,0.40133636
358,0.35131538
359,0.28531429
360,0.39872727
361,0.35950000
362,0.33468462
363,0.39326250
364,0.30711429
365,0.31154286
366,0.33302222
367,0.37603333
368,0.31444286
369,0.41132222
370,0.38947778
371,0.39160000
372,0.40242000
373,0.28895556
374,0.30345000
375,0.26811818
376,0.39070000
377,0.30180000
378,0.40792000
379,0.29705833
380,0.29524000
381,0.36155000
382,0.31386667
383,0.42558333
384,0.36946250
385,0.40262500
386,0.30803000
387,0.39184286
388,0.36626667
389,0.33250000
390,0.28717273
391,0.36230000
392,0.39158750
393,0.30890000
394,0.40610000
395,0.40307778
396,0.34128571
397,0.26408333
398,0.36131000
399,0.26816667
400,0.25687500
401,0.40848000
402,0.33970000
403,0.31988182
404,0.41944615
405,0.37191250
406,0.37760000
407,0.25492500
408,0.39623333
409,0.26488333
410,0.38902500
411,0.27451667
412,0.30776000
413,0.33173750
414,0.32488333
415,0.32386000
416,0.32933333
417,0.34580000
418,0.37937143
419,0.29693333
420,0.33333333
421,0.36526667
422,0.35044444
423,0.31027500
424,0.39665000
425,0.40021818
426,0.27856667
427,0.34942000
428,0.42683333
429,0.37762000
430,0.22016667
431,0.31278000
432,0.38391429
433,0.29995000
434,0.35760000
435,0.40395714
436,0.30073750
437,0.31005000
438,0.28845000
439,0.24940000
440,0.38371667
441,0.35238000
442,0.25566000
443,0.36863000
444,0.25816250
445,0.31460000
446,0.31240000
447,0.37090000
448,0.33622500
449,0.36441250
450,0.32273333
451,0.30156250
452,0.38778571
453,0.30822500
454,0.30030000
455,0.34615000
456,0.30920000
457,0.28947143
458,0.39120000
459,0.31204444
460,0.29416667
461,0.34178571
462,0.30555000
463,0.34266667
464,0.44756667
465,0.34032500
466,0.37338000
467,0.41755000
468,0.33272857
469,0.30862500
470,0.32550000
471,0.30008333
472,0.28898000
473,0.40712857
474,0.28621667
475,0.43832000
476,0.24317500
477,0.35100000
478,0.39645000
479,0.33230000
480,0.39790000
481,0.31518000
482,0.34828750
483,0.28038571
484,0.38480000
485,0.41082500
486,0.35508571
487,0.26692500
488,0.32538000
489,0.29905000
490,0.41833333
491,0.33728000
492,0.34432000
493,0.34282500
494,0.30080000
495,0.25910000
496,0.36692000
497,0.32597500
498,0.32931429
499,0.36354000
500,0.39960000
501,0.32080000
502,0.34209091
503,0.34770000
504,0.31743333
505,0.27820000
506,0.28210000
507,0.38691667
508,0.31102000
509,0.27065000
510,0.32941250
511,0.28277500
512,0.31518750
513,0.32086000
514,0.36056667
515,0.33520000
516,0.29973333
517,0.32496667
518,0.35327500
519,0.31985000
520,0.29922000
521,0.38730000
522,0.37166667
523,0.30020000
524,0.27575000
525,0.41080000
526,0.31496667
527,0.48530000
528,0.33461667
529,0.27882500
530,0.35210000
531,0.28518571
532,0.45862500
533,0.28145000
534,0.35206667
535,0.33690000
536,0.28357500
537,0.35848333
538,0.32107500
539,0.32998571
540,0.44444000
541,0.30608000
542,0.28967500
543,0.59395000
544,0.25624000
545,0.35305714
546,0.37148333
547,0.36110000
548,0.30290000
549,0.39240000
550,0.36616000
551,0.34935000
552,0.33576667
553,0.40206667
554,0.46120000
555,0.39700000
556,0.32910000
557,0.32256667
558,0.33308571
559,0.39148333
560,0.42140000
561,0.38322500
562,0.31360000
563,0.26820000
564,0.23845000
565,0.35220000
566,0.33286000
567,0.33390000
568,0.26026667
569,0.30050000
570,0.41230000
571,0.47285000
572,0.41080000
573,0.21205000
574,0.38330000
575,0.36822500
576,0.27690000
577,0.32790000
578,0.43987500
579,0.35147500
580,0.38151429
581,0.43200000
582,0.29040000
583,0.24586667
584,0.32975714
585,0.34681250
586,0.31400000
587,0.61500000
588,0.29850000
589,0.32175000
590,0.29107500
591,0.23350000
592,0.32196000
594,0.43704000
595,0.33223333
596,0.34955000
597,0.40030000
598,0.37790000
599,0.31452000
600,0.32500000
601,0.46420000
602,0.47896667
603,0.41125000
604,0.26820000
605,0.36035000
606,0.39836000
607,0.39870000
608,0.34706667
609,0.33168000
610,0.43772500
611,0.47585000
612,0.33127500
613,0.34203333
615,0.32237500
616,0.33687500
617,0.34090000
618,0.38350000
619,0.39260000
620,0.27340000
621,0.33722000
622,0.27570000
623,0.19900000
624,0.30685000
625,0.32320000
626,0.26946667
627,0.36683333
628,0.36780000
629,0.28776667
630,0.33890000
631,0.31960000
632,0.30330000
633,0.29422500
635,0.26967500
636,0.27078000
637,0.29093333
638,0.33697500
639,0.27935000
640,0.35117500
641,0.39585000
642,0.33100000
643,0.35706000
645,0.35580000
646,0.30340000
647,0.33800000
648,0.42280000
649,0.29737500
650,0.26103333
651,0.30660000
652,0.37220000
653,0.29096667
654,0.56725000
655,0.46870000
656,0.31372000
657,0.28610000
658,0.35185000
659,0.35510000
660,0.32880000
661,0.32412500
663,0.25790000
664,0.20330000
666,0.50150000
667,0.37755000
668,0.37687500
669,0.34525000
670,0.30450000
671,0.43820000
672,0.37945000
673,0.47646667
674,0.50075000
675,0.29333333
676,0.37650000
677,0.28016667
678,0.44067500
679,0.36232500
680,0.35783333
682,0.37465000
683,0.34372500
684,0.40677500
686,0.11080000
687,0.41920000
688,0.38950000
689,0.32463333
690,0.58770000
691,0.41100000
692,0.39015000
693,0.50000000
694,0.40780000
695,0.26860000
696,0.32495000
697,0.37230000
699,0.25180000
700,0.23285000
701,0.51640000
702,0.38434000
704,0.52130000
705,0.42270000
706,0.46390000
707,0.35890000
708,0.52263333
709,0.38716667
710,0.25630000
711,0.21473333
712,0.30620000
714,0.45867500
715,0.43672500
716,0.34640000
717,0.31520000
719,0.23780000
720,0.36040000
721,0.42670000
722,0.33563333
723,0.32230000
724,0.35220000
725,0.24970000
726,0.26790000
727,0.30400000
729,0.18450000
730,0.38360000
731,0.44190000
732,0.40505000
733,0.46563333
734,0.33990000
735,0.53330000
736,0.47150000
737,0.44006667
739,0.21175000
741,0.25370000
742,0.44410000
743,0.31842000
744,0.33200000
745,0.55235000
747,0.34886000
748,0.38593333
749,0.48265000
750,0.41730000
751,0.25365000
752,0.23940000
753,0.34395000
754,0.41110000
755,0.17220000
756,0.43704000
757,0.46365000
759,0.32850000
760,0.37992500
761,0.35215000
762,0.33860000
763,0.19270000
764,0.26705000
765,0.40785000
766,0.35150000
767,0.27055000
769,0.19640000
770,0.24326667
771,0.33140000
772,0.36400000
773,0.41613333
774,0.17570000
778,0.29642000
779,0.13610000
780,0.20770000
781,0.33670000
782,0.43090000
783,0.43680000
784,0.39113333
785,0.35410000
786,0.43154000
787,0.37356667
788,0.38260000
789,0.39120000
790,0.29305000
791,0.54490000
792,0.42615000
793,0.38360000
796,0.08790000
798,0.32835000
799,0.16520000
800,0.29420000
801,0.49130000
803,0.34777500
804,0.43780000
805,0.34660000
806,0.29160000
808,0.37560000
810,0.30000000
814,0.27950000
815,0.45316667
816,0.30330000
817,0.14690000
818,0.20780000
820,0.08290000
821,0.23140000
822,0.48540000
823,0.30620000
825,0.33260000
826,0.29725000
828,0.29226667
830,0.27830000
831,0.33690000
832,0.47480000
833,0.26950000
835,0.38686667
836,0.34510000
837,0.30645000
838,0.70170000
840,0.62980000
841,0.37970000
842,0.36940000
844,0.37740000
845,0.38930000
846,0.35656667
847,0.34060000
849,0.29210000
850,0.38470000
853,0.30950000
854,0.54980000
855,0.40700000
856,0.55490000
857,0.34620000
858,0.29720000
859,0.33180000
860,0.45000000
861,0.32060000
862,0.30433333
863,0.43165000
864,0.40050000
865,0.31790000
867,0.70130000
868,0.28887500
869,0.32450000
870,0.28620000
871,0.40760000
872,0.37500000
873,0.48110000
874,0.33256667
875,0.35430000
876,0.51600000
878,0.28930000
883,0.12800000
884,0.32975000
885,0.23840000
887,0.40470000
888,0.36523333
890,0.41040000
891,0.29033333
892,0.30830000
894,0.38370000
895,0.38210000
896,0.53570000
897,0.53510000
898,0.20820000
899,0.27140000
900,0.54000000
901,0.37850000
903,0.46735000
904,0.39600000
905,0.19340000
907,0.29110000
910,0.42420000
911,0.34635000
912,0.44410000
913,0.07340000
914,0.51750000
915,0.43170000
916,0.43340000
919,0.24645000
920,0.41145000
921,0.27580000
922,0.26680000
923,0.31715000
925,0.38865000
926,0.25050000
929,0.30625000
930,0.14840000
932,0.45385000
933,0.30120000
936,0.46205000
937,0.23370000
939,0.24120000
940,0.14890000
942,0.39700000
945,0.28730000
947,0.43680000
950,0.31793333
951,0.34225000
953,0.20250000
954,0.46280000
955,0.27695000
957,0.30930000
959,0.32430000
960,0.38650000
962,0.36070000
963,0.32500000
964,0.18780000
965,0.43780000
966,0.30745000
968,0.32093333
971,0.30795000
973,0.39260000
974,0.34445000
975,0.39490000
976,0.37190000
978,0.25150000
979,0.42190000
980,0.33980000
981,0.37770000
982,0.42870000
985,0.25890000
986,0.33060000
987,0.38100000
988,0.36085000
989,0.36245000
991,0.50150000
992,0.36460000
994,0.58950000
996,0.40260000
997,0.43730000
1000,0.30200000
1001,0.21080000
1002,0.27840000
1003,0.12860000
1004,0.57470000
1005,0.49450000
1006,0.46620000
1007,0.32970000
1009,0.43076667
1010,0.32770000
1012,0.49900000
1017,0.43070000
1018,0.11790000
1019,0.35720000
1021,0.48285000
1022,0.34930000
1023,0.31090000
1024,0.38480000
1027,0.42647500
1028,0.39880000
1029,0.18170000
1032,0.18800000
1033,0.38820000
1036,0.41086667
1037,0.26040000
1038,0.23120000
1039,0.26085000
1042,0.33395000
1043,0.28760000
1044,0.36445000
1045,0.60100000
1046,0.44170000
1048,0.34640000
1049,0.47190000
1051,0.37295000
1052,0.35080000
1053,0.37890000
1056,0.38730000
1058,0.35775000
1059,0.35785000
1060,0.30570000
1061,0.44960000
1067,0.36130000
1068,0.38200000
1069,0.25630000
1070,0.37226667
1073,0.42870000
1074,0.19180000
1077,0.34030000
1079,0.22520000
1082,0.43530000
1083,0.41460000
1086,0.31580000
1087,0.46090000
1090,0.29360000
1092,0.30490000
1093,0.39795000
1094,0.30260000
1096,0.34850000
1097,0.48220000
1098,0.36340000
1100,0.51550000
1102,0.32030000
1105,0.52400000
1107,0.37125000
1109,0.28400000
1110,0.32250000
1113,0.16530000
1114,0.44170000
1116,0.32395000
1117,0.40915000
1118,0.43650000
1121,0.12580000
1123,0.35170000
1126,0.22380000
1127,0.32860000
1130,0.28050000
1133,0.38920000
1134,0.46736667
1139,0.25200000
1142,0.50530000
1143,0.41120000
1145,0.28470000
1146,0.34640000
1148,0.40242500
